,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
773,0,2059,5.4,6.8,9.8,2.4,1.0,1.2,782.6,0.0,0.0,0.0,0.0,123066.2,30612.4,85038.0,7414.8,224.8,22133.2,7896.2,13361.6,875.0,9761.4,2.2,29208.8,9870.4,30.0,44.0,34274.6,15090.2,17287.6,1895.6,11636.6,11267.0,0.0,127.6,39.8,26.2,4.0,315.0,14.4,4.6,13.6,2.8,1,1,0,0,1,1,0,0,3,2
774,1,1948,7.0,4.6,9.8,2.8,1.8,2.2,716.2,1.0,0.4,0.0,0.0,140308.2,82836.8,49493.0,7977.6,243.0,16620.4,11966.8,3847.0,806.0,10057.4,1.4,14873.2,21357.6,49.2,19.2,23917.8,12401.6,10530.8,984.2,13342.6,12332.0,0.2,138.4,38.2,19.2,5.0,116.2,16.0,8.8,18.6,6.2,1,1,1,1,1,1,1,2,4,2
775,0,1948,4.6,7.0,8.4,2.4,1.4,0.8,561.8,0.4,0.0,0.0,0.0,143720.6,70407.8,61986.4,11325.6,88.6,17865.2,11960.6,4920.0,983.6,5455.4,1.2,12768.8,7164.2,33.0,19.8,22517.2,12654.4,9056.2,806.0,11581.0,13208.6,0.0,139.2,39.2,31.0,2.2,209.8,14.6,3.0,16.6,5.4,0,0,0,0,0,0,0,0,1,0
776,1,1916,8.6,6.2,14.6,3.8,2.0,2.2,439.0,1.6,0.2,0.0,0.0,147242.0,32634.8,98677.8,15928.4,255.0,26158.2,9792.0,12849.8,3515.0,15136.8,2.0,22302.6,14468.6,39.6,27.0,31122.6,9895.0,19903.6,1322.8,13422.6,12287.0,0.2,132.6,36.8,25.2,3.2,187.2,16.6,5.8,15.8,6.4,0,1,1,1,0,0,1,2,3,0
777,0,1916,6.2,8.6,9.0,2.4,1.4,1.8,444.4,0.4,0.0,0.0,0.0,131201.2,34135.8,89269.4,7795.2,83.2,24496.8,9212.2,13989.8,1293.8,9133.6,2.4,32996.2,8575.0,36.8,38.4,31664.4,10161.4,17929.2,3572.4,11553.2,11113.0,0.0,121.8,35.4,24.0,2.2,240.4,14.6,4.2,14.0,5.4,1,0,0,0,1,1,0,0,2,2
778,1,2057,5.8,6.0,11.0,2.0,1.6,1.8,662.8,1.0,0.0,0.0,0.0,161006.0,46923.6,104725.0,9356.4,270.2,20446.6,7694.4,11017.2,1734.4,7777.0,3.2,23472.2,16145.8,39.2,28.6,25196.4,10162.6,14237.4,795.2,13578.0,11907.0,0.2,158.0,46.0,29.6,4.0,360.4,16.2,5.0,15.2,7.0,0,0,1,0,1,0,1,1,4,1
779,0,2057,6.0,6.0,9.4,2.8,1.0,1.2,663.2,0.0,0.0,0.0,0.0,140580.6,55568.2,77783.8,7227.6,181.4,18831.8,9510.6,8544.4,776.2,8429.2,1.0,17998.4,10299.6,39.8,27.6,26851.8,8516.0,16600.6,1734.4,12773.0,12025.0,0.0,149.4,36.6,27.4,1.6,364.4,15.6,5.8,16.2,6.2,1,1,0,1,0,1,0,1,1,1
780,1,1678,5.8,3.8,10.6,3.8,1.6,1.2,519.4,1.2,0.2,0.0,0.0,107853.0,29143.6,73117.6,5591.6,104.6,14733.6,5191.4,8935.0,606.6,5738.6,2.2,13209.0,15244.2,29.6,18.8,17213.8,7450.0,8876.0,886.2,10961.6,10770.0,0.2,115.8,29.0,15.2,4.4,128.2,13.6,3.6,14.0,3.4,0,1,1,1,1,0,1,1,3,1
781,0,1678,3.8,5.8,5.2,1.6,1.0,1.2,536.4,0.0,0.0,0.0,0.0,93975.8,38211.2,46483.6,9280.6,178.0,11715.6,7147.0,3881.0,686.8,4920.8,3.0,18062.2,5125.2,31.2,28.2,18929.6,5496.0,12826.0,606.6,9288.2,8995.0,0.0,108.8,28.8,20.0,1.0,222.0,12.6,3.4,11.8,6.6,1,0,0,0,0,1,0,0,1,1
782,1,2118,8.4,5.2,13.6,5.6,2.0,1.6,889.8,1.8,0.2,0.0,0.0,152690.2,33907.6,99973.2,18808.4,73.4,24515.2,8781.6,12652.2,3080.2,9894.0,2.2,33040.6,20039.0,44.2,30.6,27555.6,7902.6,17828.6,1822.8,14161.6,13242.0,0.2,130.6,44.0,25.6,4.2,349.4,16.6,4.8,16.8,7.4,0,1,1,0,1,1,1,1,5,2
783,0,2118,5.0,8.4,11.8,2.2,1.4,0.4,507.6,0.6,0.2,0.0,0.0,125495.2,31066.4,85532.4,8895.2,99.2,19351.0,7397.4,10622.0,1330.2,6975.0,1.4,26562.6,7767.8,47.2,29.2,29147.4,9120.2,16853.0,3173.0,12102.4,11425.0,0.0,136.4,34.2,24.6,2.2,125.6,15.2,4.6,16.6,7.0,1,0,0,1,0,0,0,1,0,0
784,1,2157,8.4,4.4,15.0,3.6,1.8,2.0,911.2,1.2,0.0,0.0,0.0,165397.4,60290.2,100038.2,5068.2,354.2,21008.2,7632.6,12673.2,701.6,9811.4,2.0,19693.2,12999.4,44.4,24.0,25940.2,8882.0,16639.6,418.0,13687.0,11888.0,0.2,143.2,50.6,36.6,3.0,132.6,17.0,4.6,18.6,5.4,0,0,0,1,1,0,1,1,3,0
785,0,2157,4.4,8.4,8.4,2.4,1.6,1.0,561.0,0.8,0.0,0.0,0.0,146655.8,55713.0,82132.2,8810.2,141.4,18329.0,7850.8,10058.8,418.4,5708.2,1.8,19313.0,8015.4,39.0,29.2,26074.6,7799.8,17572.4,701.6,12418.4,12027.0,0.2,150.0,36.0,28.0,0.2,211.8,15.4,2.8,15.0,5.8,1,1,1,0,0,1,1,0,2,1
786,1,1424,3.6,1.0,7.4,3.2,1.2,1.2,522.8,0.2,0.0,0.0,0.0,96063.4,20819.6,69311.4,5931.6,83.8,9250.8,3583.4,5353.0,313.2,9070.8,2.0,11782.8,11665.4,22.4,14.4,16517.8,4374.0,11753.4,389.8,9186.8,8465.0,0.2,106.0,37.2,22.2,3.6,118.2,13.0,3.8,9.2,3.0,1,1,1,1,1,1,1,1,3,1
787,0,1424,1.0,3.6,1.6,0.4,0.6,0.2,730.0,0.0,0.0,0.0,0.0,87685.4,20554.2,63832.4,3298.2,120.0,9716.6,3849.8,5600.8,265.6,2779.0,1.8,7651.6,4427.0,21.0,13.4,13068.6,3951.0,8803.6,313.2,7283.4,6975.0,0.0,102.2,30.0,24.0,0.0,178.4,11.4,3.0,9.8,2.0,0,0,0,0,0,0,0,0,0,1
788,1,1526,7.6,2.8,9.6,4.4,2.2,1.6,857.6,1.0,0.6,0.0,0.0,102545.8,10711.0,87572.2,4262.0,242.4,18757.6,4489.4,13308.0,960.0,6019.6,1.4,10352.8,14909.4,27.6,20.8,16777.4,5058.4,10101.8,1616.2,10371.0,9244.0,0.4,98.0,31.0,16.0,7.4,177.4,13.6,3.8,11.4,3.2,1,1,1,1,0,1,2,1,2,2
789,0,1526,2.8,7.6,3.4,1.0,0.8,0.2,459.4,0.0,0.0,0.0,0.0,79945.4,15350.6,52575.6,12018.6,79.8,11311.4,4552.8,5141.4,1616.2,4837.4,1.4,12482.4,3724.0,21.2,12.0,21965.4,4880.2,16124.8,960.0,7942.6,7583.0,0.0,91.6,30.2,19.8,3.2,169.2,12.4,2.8,10.0,2.2,0,0,0,0,1,0,0,0,2,0
790,1,1894,6.6,5.2,10.6,3.0,1.2,1.8,718.4,0.6,0.0,0.0,0.0,144205.6,41718.4,96623.8,5862.8,204.4,20709.2,9216.4,10908.8,583.4,13846.2,2.0,25284.8,16340.0,36.6,11.0,31989.6,8073.0,22255.6,1659.8,12626.8,11630.0,0.2,135.0,40.0,27.4,1.8,137.2,16.0,4.0,13.0,5.2,1,0,1,1,1,0,1,1,4,1
791,0,1894,5.2,7.0,8.6,2.2,1.4,1.4,634.2,0.6,0.0,0.0,0.0,138521.8,27597.2,102627.4,8295.8,273.6,23030.2,7378.2,13993.6,1657.6,5890.0,2.2,16029.8,4662.2,34.6,28.4,25070.6,9471.6,15015.0,583.4,11930.0,11405.0,0.0,143.4,38.0,27.0,1.8,241.0,15.0,4.4,14.0,6.8,0,1,0,0,0,1,0,0,0,1
792,1,1449,8.2,2.6,11.8,5.0,1.8,1.8,667.0,0.6,0.2,0.2,0.0,96212.6,29101.6,59463.0,7646.8,89.0,15610.2,6083.0,8570.8,956.0,4960.2,2.0,11911.0,12667.2,23.0,19.6,16420.8,4307.8,10882.2,1229.6,11009.2,10340.0,0.4,105.8,29.8,11.4,7.8,175.0,13.6,3.6,8.6,2.2,1,1,1,1,1,1,2,1,3,2
793,0,1449,2.6,8.2,4.2,1.0,1.0,0.4,378.2,0.2,0.0,0.0,0.0,68899.4,32822.4,26039.6,10036.2,93.0,10129.4,4052.0,4846.6,1230.0,3821.0,2.4,12164.2,1486.4,14.8,24.2,19792.4,6386.6,12449.0,955.8,7373.6,6962.0,0.0,97.4,14.6,10.8,1.2,239.2,12.0,1.8,8.4,1.6,0,0,0,0,0,0,0,0,0,0
794,1,1411,7.8,3.6,15.2,3.4,1.6,2.4,521.4,1.2,0.0,0.0,0.0,100551.2,11324.0,78210.6,11015.6,87.4,17131.6,3360.0,10859.4,2911.0,6685.0,1.0,14664.0,13890.4,20.0,22.2,18870.6,3588.0,13570.2,1711.4,10761.2,9847.6,0.2,101.0,33.2,17.2,7.8,221.8,13.6,1.4,7.6,3.0,0,0,1,1,1,0,1,1,3,1
795,0,1411,3.6,7.8,4.8,1.0,1.4,0.8,473.6,0.2,0.2,0.0,0.0,77763.0,18753.4,49849.6,9159.0,175.2,12468.6,3124.6,7832.0,1511.4,3893.2,1.8,15222.6,3734.8,17.8,49.2,21598.2,3841.4,14845.0,2911.0,8310.8,7805.0,0.0,96.6,26.0,16.8,4.0,165.6,11.4,4.2,9.4,1.0,1,1,0,0,0,1,0,0,0,1
796,1,1494,7.2,2.8,9.2,3.8,1.4,2.0,801.0,1.0,0.0,0.0,0.0,99157.8,9301.8,79416.8,10438.0,46.6,15154.6,2628.8,10704.2,1820.6,6324.6,1.8,9811.6,10407.0,25.2,21.6,16222.8,5160.6,10109.6,952.0,10706.2,9611.6,0.4,101.6,29.2,14.2,6.6,163.0,13.6,3.2,9.8,2.6,1,1,1,0,0,1,2,0,2,1
797,0,1494,2.8,7.2,4.2,0.8,1.4,0.4,361.6,0.4,0.0,0.0,0.0,76187.2,32693.0,37464.0,6029.8,111.8,9951.8,4926.8,4472.2,552.2,3414.0,2.2,10315.6,2624.4,15.0,15.0,17647.0,2721.4,13104.0,1820.6,8237.2,7877.0,0.0,100.4,20.0,14.6,1.4,155.0,12.0,1.8,7.4,2.4,0,0,0,0,1,0,0,0,1,0
798,1,1979,6.2,2.6,9.8,3.8,1.4,1.8,939.4,0.4,0.0,0.0,0.0,139761.4,29646.4,100069.6,10044.6,549.0,17708.6,5996.8,10033.2,1677.8,10270.6,5.0,12333.2,20009.0,42.4,22.2,21089.2,7772.6,12180.8,1135.2,12660.6,11402.0,0.2,125.8,46.6,21.0,11.4,265.4,15.6,4.8,16.6,6.6,1,1,1,1,1,0,1,2,5,1
799,0,1979,2.6,6.2,4.0,1.2,1.2,0.6,669.4,0.2,0.0,0.0,0.0,112865.2,37548.2,67201.4,8114.4,269.8,14190.8,7188.2,6266.8,735.2,6603.0,3.6,15277.6,5330.2,38.2,32.2,21821.2,6346.8,13796.0,1677.6,9856.6,9247.0,0.0,129.0,29.2,21.0,3.2,278.4,14.0,5.2,15.0,5.2,0,0,0,0,0,1,0,0,0,1
800,1,1724,8.0,6.2,13.0,3.0,1.8,2.4,553.4,0.4,0.2,0.2,0.0,120679.6,34600.6,78707.2,7371.2,402.6,21385.8,8265.4,10904.2,2215.4,7194.0,1.4,12750.6,16188.6,35.0,20.2,22716.4,5845.4,15749.0,1120.8,11876.2,10372.0,0.0,105.2,36.0,22.4,2.6,129.8,15.0,3.8,14.6,3.6,1,0,0,0,0,0,0,1,4,1
801,0,1724,6.2,8.2,9.0,2.0,1.4,1.4,569.0,0.6,0.0,0.0,0.0,100141.2,24554.4,67353.4,8233.0,82.8,16349.6,5388.4,9839.6,1121.2,7368.0,2.2,19771.8,6454.8,22.8,20.2,26072.2,8515.4,15340.8,2215.2,11034.8,10765.0,0.0,104.8,33.8,25.8,0.6,173.6,14.0,4.6,10.8,3.4,0,1,0,1,1,1,0,1,1,1
802,1,1307,4.0,2.2,4.2,2.8,1.4,0.6,333.4,0.4,0.0,0.0,0.0,92777.6,29319.4,58053.2,5404.4,86.6,11003.6,4048.0,6529.6,425.4,4096.8,2.2,7297.4,7343.4,23.8,9.4,11568.4,2759.0,8533.0,275.6,8446.2,7687.0,0.2,97.0,31.6,19.2,6.0,118.8,12.0,2.6,8.4,4.4,0,0,1,0,1,1,1,0,1,1
