,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1026,1,1378,27,13,18,18,8,9,3136,3,0,0,0,494621,88738,373093,32784,1012,66600,15484,48796,2315,36123,7,58096,58958,75,123,86022,30931,52394,2691,49424,42210,2,546,149,51,48,495,67,5,31,7,1,1,1,1,1,1,2,1,2,1
1027,0,1378,12,27,24,5,4,3,2210,0,0,0,0,312796,140622,156500,15668,384,52980,27022,23264,2691,16683,15,41482,1938,56,75,80186,16136,61729,2313,33923,32920,0,411,46,27,12,817,59,6,36,3,0,0,0,0,0,0,0,0,0,0
1028,1,1839,35,31,63,17,8,8,2612,4,1,0,0,566923,71797,442396,52728,1235,90233,13215,65483,11531,36852,14,90395,49881,101,132,113605,45553,64509,3540,58434,51675,1,494,141,107,14,716,74,5,45,8,1,0,1,1,0,0,1,1,0,0
1029,0,1839,31,35,45,15,7,6,3548,3,0,0,0,473568,160295,279822,33449,1200,86724,43173,40265,3282,22672,6,129265,61826,92,136,112415,13717,87162,11530,52552,49575,0,468,140,68,12,1103,67,5,41,9,0,1,0,0,1,1,0,0,4,2
1030,1,2313,44,25,41,14,9,13,3657,5,2,0,0,751239,189842,508542,52852,1146,129940,43995,78361,7580,29603,7,80830,89915,269,196,114277,31786,79740,2747,69838,64500,2,599,221,116,52,1463,81,16,88,32,1,1,1,1,1,1,2,2,3,1
1031,0,2313,25,44,26,9,6,5,3483,1,0,0,0,736438,240843,450858,44732,591,76376,29140,45008,2222,35054,9,150842,25051,144,145,151185,44491,99100,7588,62106,57820,0,653,166,117,12,5178,76,12,69,18,0,0,0,0,0,0,0,0,2,0
1032,1,2521,45,42,72,17,7,11,3436,5,2,0,0,959738,287980,612703,59053,1515,171671,48080,113994,9593,83022,11,185627,94028,176,168,214747,82849,103586,28307,80133,75650,3,648,280,152,54,1300,89,4,86,11,0,0,1,1,0,0,3,2,4,0
1033,0,2521,42,45,66,15,9,8,3230,6,1,0,0,850198,339582,386751,123861,736,173141,78137,66693,28308,51373,11,199166,49807,150,89,207501,48805,148419,10272,71516,69245,0,707,124,74,8,1283,87,4,64,20,1,1,0,0,1,1,0,0,2,2
1034,1,2405,52,39,77,23,7,10,3186,5,0,0,0,944411,240985,650963,52459,910,159768,63768,91586,4411,88093,14,239689,75271,242,216,196460,55163,134197,7095,81453,81803,5,750,218,139,53,1653,85,23,96,41,0,0,1,1,1,0,5,2,3,0
1035,0,2405,39,52,73,16,10,8,2762,4,1,0,0,901957,259811,580715,61427,1606,158165,52451,99173,6537,64283,7,173650,58171,251,275,199032,67750,126970,4307,71536,67575,0,721,153,87,9,1683,82,19,112,29,1,1,0,0,0,1,0,0,2,1
1036,1,1601,32,16,53,20,8,7,2733,5,3,0,0,523063,106232,365606,51220,1043,82110,14781,54340,12988,34775,21,49478,57327,109,85,81650,19661,56108,5879,54494,47945,3,565,154,82,35,897,71,9,45,17,1,0,1,0,1,1,3,0,3,1
