,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
257,0,2171,33,38,39,16,7,7,3045,2,0,0,0,847498,266376,514179,66937,686,131857,55481,61470,14901,49773,10,137869,58585,183,96,154597,26514,111328,16749,68770,66083,0,831,209,144,10,1047,85,22,104,32,1,0,0,0,0,1,0,1,1,2
258,1,1672,41,30,64,24,10,8,3391,4,1,1,0,740600,221646,476452,42499,1105,103960,45271,50986,7700,36934,12,94480,94059,156,95,113329,38547,70975,3804,65092,60050,3,652,235,127,48,930,77,11,50,24,0,1,1,1,0,0,3,1,2,1
259,0,1672,30,41,59,11,9,7,2217,4,2,0,0,550485,195888,329073,25520,859,72870,34947,35116,2805,26102,6,94518,20477,92,272,125340,45924,71713,7698,53288,50075,0,618,105,73,0,1468,73,15,50,11,1,0,0,0,1,1,0,0,2,1
260,1,1310,20,7,27,14,6,4,2321,3,0,0,0,436051,136749,261659,37637,405,42894,13391,24070,5430,25941,9,41001,28803,132,89,59313,12239,45277,1793,43783,38083,0,573,177,110,24,1027,62,17,51,25,0,0,0,0,1,0,0,0,2,0
261,0,1310,7,20,9,3,4,1,3170,0,0,0,0,372387,77287,279514,15583,0,30925,8515,20614,1793,18897,8,35600,21548,117,30,62981,15555,41994,5427,34493,32958,0,514,132,102,8,524,56,17,57,19,1,1,0,0,0,1,0,0,0,1
262,1,1994,37,23,41,15,9,9,3269,3,1,0,0,887151,221875,629647,35623,973,104135,32808,62314,9008,70943,11,95428,72237,220,82,142323,63816,72308,6196,65844,59290,2,801,255,158,28,977,80,17,93,27,1,0,1,0,1,0,2,0,4,0
263,0,1994,23,37,27,7,6,9,3281,4,0,0,0,718141,347498,336802,33834,442,102672,60625,35845,6196,40688,8,123201,48073,165,98,130989,35594,84803,10586,61081,57308,0,710,212,161,7,1479,80,9,67,33,0,1,0,1,0,1,0,1,0,2
264,1,1497,37,15,64,28,9,6,4167,4,1,0,0,523225,116637,378301,28282,1531,81218,22909,51107,7198,38216,16,65852,79145,147,81,96784,19818,65150,11811,55612,51835,1,495,180,83,39,812,69,18,58,21,0,1,1,1,0,1,1,1,3,2
265,0,1497,15,37,29,7,7,3,2102,2,0,0,0,436571,84387,319623,32557,667,57372,17480,35077,4812,26361,8,72117,11941,111,81,103862,25080,71583,7198,43014,39475,0,585,131,96,11,822,63,12,52,17,1,0,0,0,1,0,0,0,1,0
266,1,1245,26,12,25,14,6,7,3041,1,0,0,0,427461,77587,293576,56296,2716,58112,13249,30951,13908,27794,10,51551,37332,130,81,76671,16875,57420,2373,42774,39525,0,544,140,86,14,1038,61,18,56,18,1,1,0,0,1,0,0,0,3,0
267,0,1245,12,26,14,3,6,1,1973,1,0,0,0,355839,123056,205618,27160,313,41158,16280,22500,2373,18445,10,39336,18027,90,62,76537,15541,47085,13907,35199,32333,0,461,122,97,0,561,56,7,49,14,0,0,0,0,0,1,0,0,0,1
268,1,1734,28,14,48,19,7,6,2746,2,0,0,0,643442,204827,387499,51112,1586,92031,33425,45366,13237,47781,16,97563,60308,166,124,106086,45226,57990,2865,57863,50175,1,670,186,119,19,929,75,18,71,18,0,0,1,1,0,1,1,1,2,1
269,0,1734,14,28,16,7,6,3,3556,1,0,0,0,638802,243658,357649,37488,376,76404,42641,31893,1867,39624,13,80395,43665,144,76,126278,36178,76860,13236,49060,46960,0,702,183,122,22,562,66,11,56,24,1,1,0,0,1,0,0,0,2,1
270,1,966,16,9,19,12,4,4,1998,0,0,0,0,289732,67366,206524,15839,0,29646,11914,17324,406,12915,9,22257,34907,68,70,39566,4576,31882,3102,33753,26250,1,396,85,37,27,576,49,11,32,11,0,1,1,0,1,1,1,0,2,1
271,0,966,9,16,12,4,3,3,1986,0,0,0,0,202816,45636,135492,21685,560,24137,4097,16936,3104,11058,9,17837,4790,62,31,42612,13784,28418,406,25880,24810,0,344,87,57,9,256,44,13,28,6,1,0,0,0,0,0,0,0,0,0
272,1,1736,41,20,54,22,9,9,4528,6,0,0,0,722558,200559,449308,72690,1206,92895,37886,46352,8655,29457,7,67505,100925,184,81,109337,35874,71656,1804,66402,59070,3,629,245,124,48,864,80,26,70,24,0,1,1,1,1,1,3,2,3,2
273,0,1736,19,41,26,8,5,3,2475,0,0,0,0,627209,305558,302054,19591,2543,63033,31279,29947,1804,15758,8,67140,12941,137,65,112106,39639,63808,8654,52481,57755,0,739,116,103,0,674,73,8,54,24,1,0,0,0,0,0,0,0,0,0
274,1,2057,29,21,66,18,7,7,3916,3,0,0,0,808955,216161,549738,43051,799,114353,42797,64157,7396,37822,12,83816,79995,263,116,109857,48945,57111,3795,66169,61725,1,769,229,140,31,826,80,40,96,45,1,1,1,1,0,1,1,1,3,2
275,0,2057,21,29,45,8,4,8,4021,0,0,0,0,725898,363560,341649,20686,673,79447,47034,28615,3795,38198,11,142815,24659,184,144,138803,45058,86346,7395,59715,57720,0,787,194,133,12,1442,76,24,91,30,0,0,0,0,1,0,0,0,2,0
276,1,1228,23,14,39,16,7,3,1676,2,0,0,0,419430,141018,228411,49998,1122,52128,23820,22913,5391,20698,10,31640,35258,107,78,59960,14068,43718,2171,41457,36975,0,486,147,75,29,712,60,12,46,11,0,1,0,0,1,1,0,0,2,1
277,0,1228,14,23,12,6,3,2,2211,0,0,0,0,270035,70292,176153,23584,319,34318,12724,19420,2172,12396,9,42017,7318,60,65,63355,24521,33437,5391,31875,29060,0,439,80,71,0,1065,52,15,29,14,1,0,0,0,0,0,0,0,0,0
278,1,1789,32,26,58,17,10,8,3163,5,2,0,0,636461,245328,334164,56964,1019,94518,32977,51760,9779,40627,13,78260,56971,177,106,103131,32342,67827,2956,61692,54958,2,617,197,136,15,1120,77,26,66,28,0,1,1,1,1,0,2,1,3,0
279,0,1789,26,32,38,14,6,6,3064,2,0,0,0,576761,182948,361654,32157,506,75541,30382,42199,2957,30277,11,93937,34999,180,116,123385,35890,77713,9777,53664,53410,0,627,195,144,5,1081,70,29,79,26,1,0,0,0,0,1,0,0,2,1
280,1,1892,33,25,59,15,8,8,2839,4,0,0,0,631934,301038,264711,66182,996,78651,44487,26385,7775,33488,11,104454,50244,218,114,123320,41218,79465,2631,61945,53875,1,655,191,142,12,1235,81,37,109,37,1,0,1,0,1,0,1,1,2,0
281,0,1892,25,33,31,13,6,7,3563,1,1,0,0,723189,269433,414139,39611,519,92755,38042,52074,2634,23196,10,66916,64319,211,87,101007,46464,46766,7773,58266,55025,0,712,220,141,13,1099,75,31,89,39,0,1,0,1,0,1,0,1,2,2
282,1,1914,39,29,63,18,9,7,3154,5,1,0,0,741861,285601,382038,74218,723,116989,46971,56160,13854,45466,11,104563,64792,196,145,129259,37752,80734,10768,64761,58550,2,696,201,144,14,1180,80,24,90,39,0,1,0,0,1,0,2,0,4,1
283,0,1914,29,39,46,8,6,5,2351,1,0,0,0,690178,279846,361471,48856,568,93870,35126,47971,10768,42540,7,147552,49649,246,126,147246,50696,82690,13852,64678,62978,1,661,237,159,20,663,78,26,101,39,1,0,1,1,0,1,1,2,1,1
284,1,966,16,10,12,13,6,4,2155,1,0,0,0,265421,15175,221613,28628,558,28701,2174,22648,3874,6303,5,27132,32990,62,54,35684,5113,29483,1084,32831,28963,1,349,96,53,16,740,48,11,27,9,1,1,1,0,0,1,1,0,1,1
285,0,966,10,16,15,6,5,2,1804,1,0,0,0,203596,24945,169266,9380,319,22657,4362,17209,1084,7412,8,24906,7592,41,45,39579,3236,32467,3872,26678,24275,0,311,87,63,5,341,44,9,37,4,0,0,0,0,1,0,0,0,1,0
286,1,2072,31,26,48,16,8,10,4064,3,0,0,0,919387,331716,519745,67925,2575,121017,63718,53841,3454,33524,7,137326,100024,239,176,124661,32501,76951,15204,69472,63900,1,779,266,147,40,1203,83,34,87,37,1,1,0,1,1,1,1,2,4,1
287,0,2072,26,31,53,11,5,7,4023,0,0,0,0,736991,143311,531524,62153,632,90611,29407,46057,15144,52215,10,128168,32830,221,70,151411,65731,82223,3454,62796,61860,1,822,167,127,16,1148,77,36,95,35,0,0,1,0,0,0,1,0,1,0
288,1,1137,31,16,41,17,7,6,2565,5,0,0,0,370013,91025,244676,34309,918,64846,16687,41373,6783,24469,9,45452,17548,80,53,70403,15123,54026,1250,41552,37475,0,456,104,55,31,771,59,14,34,13,1,1,0,0,1,0,0,0,1,0
289,0,1137,16,31,19,6,6,3,2081,1,0,0,0,282083,64073,205376,12633,0,50442,14506,34686,1250,24635,10,51073,13339,60,58,81373,17149,57437,6781,34214,30443,0,392,84,57,5,411,53,7,34,7,0,0,0,0,0,1,0,0,0,1
290,1,973,25,17,32,13,7,4,2643,3,0,0,0,293258,116051,164561,12643,542,44009,26069,16425,1515,12644,7,29986,26776,53,85,50226,14263,33768,2188,36081,33470,0,351,112,65,21,785,51,12,25,6,0,1,0,0,1,1,0,0,2,1
291,0,973,17,25,24,4,5,5,1689,2,0,0,0,360710,42156,132621,185930,346,35812,12739,20882,2189,9932,7,29728,5295,55,61,54116,26241,26359,1515,30718,28860,0,300,84,56,13,448,48,8,27,3,1,0,0,0,0,0,0,0,0,0
292,1,1434,33,14,28,16,7,9,2685,2,0,0,0,487771,188508,277051,22208,1366,66356,29041,35354,1960,26709,7,42381,53564,119,74,77964,25875,50732,1353,49918,44555,1,513,136,64,28,745,68,10,52,13,0,1,1,1,0,0,1,1,2,0
293,0,1434,14,33,21,4,6,2,2463,1,0,0,0,467159,196027,248756,22375,0,54669,23272,30042,1354,22771,10,51085,29434,100,41,89692,30509,57220,1959,42605,42790,0,536,130,78,25,332,59,5,44,14,1,0,0,0,1,1,0,0,1,1
294,1,1477,28,13,48,20,6,3,1754,2,0,0,0,524720,178848,325721,20149,397,62606,22917,36888,2798,48378,14,77398,44539,153,116,83743,40662,41995,1079,50285,44945,0,533,203,103,59,879,64,24,70,20,1,1,0,0,0,1,0,0,1,1
295,0,1477,13,28,22,8,4,2,2660,0,0,0,0,411494,232559,158034,20898,376,53711,38133,14495,1081,20121,12,67990,21913,127,81,84186,23813,57573,2798,37437,37550,0,518,109,69,8,864,55,19,48,18,0,0,0,0,1,0,0,0,2,0
296,1,2107,35,24,47,18,7,6,3519,5,0,0,0,866184,326230,472099,67848,721,106114,50075,47575,8461,46943,14,164657,84633,202,132,136647,34729,92223,9686,70961,64675,3,747,270,153,43,1139,83,31,101,32,1,1,1,0,0,1,3,1,3,2
297,0,2107,24,35,52,12,6,4,3560,3,0,0,0,765430,178374,498868,88185,935,92345,31122,53531,7688,38790,10,112783,50165,239,145,134961,52840,73654,8460,63502,62050,0,768,178,123,12,1526,78,29,86,41,0,0,0,1,1,0,0,1,2,0
298,1,1080,29,10,37,23,7,6,2582,4,0,0,0,350761,82408,249407,18943,1321,47099,17130,28150,1814,11296,11,27124,37996,83,40,45295,17172,26295,1823,41041,33455,1,442,99,57,7,1004,57,14,46,6,0,1,1,0,1,1,1,0,1,2
299,0,1080,10,29,13,3,4,1,1705,0,0,0,0,262733,99381,152399,10950,183,32914,16749,14336,1823,15007,7,30550,10994,78,37,67256,19627,45812,1812,29685,29125,0,319,115,85,14,332,47,7,29,17,1,0,0,0,0,0,0,0,1,0
300,1,1259,31,18,50,20,7,8,3102,2,0,0,0,372704,176313,164970,31417,376,65276,35347,25678,4248,17650,11,42264,40686,132,97,64161,18228,43150,2780,43485,38518,0,401,129,72,17,817,60,12,53,20,0,1,0,0,0,1,0,0,2,2
301,0,1259,18,31,23,7,7,3,1558,2,1,0,0,331897,105526,186726,39643,377,46500,17325,26391,2780,18327,12,45859,14849,79,70,80648,36103,40291,4247,36871,35275,0,426,109,84,9,686,55,22,38,9,1,0,0,0,1,0,0,0,1,0
302,1,928,17,0,16,16,4,3,0,0,0,0,0,256678,22311,212787,21575,0,31053,3026,25919,2104,14927,6,18925,23269,74,43,34064,10453,22235,1372,30636,24468,0,377,96,53,24,339,50,9,33,9,1,1,0,0,1,1,0,0,1,1
303,0,928,0,17,0,0,0,0,2243,0,0,0,0,190205,66296,87255,36649,284,17727,9540,6811,1373,11409,8,23471,7692,51,42,44121,4096,37918,2102,21111,17875,0,320,71,50,0,654,42,8,30,8,0,0,0,0,0,0,0,0,1,0
304,1,1008,16,5,26,13,8,5,1267,3,1,0,0,260743,97737,134188,28814,628,30491,14074,14650,1764,9228,4,17127,29656,75,49,32203,6014,25222,965,32523,25000,0,402,99,59,11,564,52,8,27,10,1,1,0,0,1,0,0,0,2,1
305,0,1008,5,16,4,3,3,1,3039,0,0,0,0,220554,56904,145139,18508,360,17321,5436,10918,965,13845,10,27807,12001,66,25,45868,15603,28497,1764,25658,22425,0,396,74,56,0,231,47,8,31,8,0,0,0,0,0,1,0,0,0,1
306,1,1360,31,12,47,21,8,6,3221,5,0,0,0,413530,182155,200082,31286,426,60647,22993,32671,4979,26644,15,46920,46086,127,79,73808,15003,47894,10905,47109,42005,1,479,154,89,23,881,63,17,56,19,0,1,1,0,1,1,1,0,3,2
307,0,1360,12,31,18,5,6,2,2555,1,0,0,0,361240,99527,199922,61785,627,51116,12635,27570,10905,14567,6,47901,14903,90,52,81237,25640,50614,4977,36849,35958,0,484,134,102,7,646,58,13,43,13,1,0,0,0,0,0,0,0,0,0
