,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
697,0,2155,25,35,27,13,6,7,3661,1,0,0,0,788026,283722,492051,12249,901,101152,58943,39821,2384,33866,8,90367,34067,143,296,147332,72134,70975,4219,62033,60325,0,775,215,172,5,2132,78,7,76,11,0,0,0,0,0,0,0,0,1,0
698,1,1153,25,8,23,18,9,6,3866,4,1,1,0,410204,50332,328885,30983,327,41398,8335,31236,1823,21153,7,38242,56234,69,69,58535,18719,36122,3689,42904,38158,1,446,172,98,18,815,57,7,32,6,1,1,1,0,1,1,1,0,2,2
699,0,1153,8,25,11,0,4,0,1891,0,0,0,0,274373,103387,140478,30502,637,29814,15836,10283,3690,13990,10,35788,6375,64,39,58696,8834,48035,1824,29342,26450,0,403,89,75,2,450,50,8,31,9,0,0,0,0,0,0,0,0,0,0
700,1,2240,30,37,60,14,7,6,3055,1,1,0,0,661313,278830,354372,28107,869,93899,63055,28195,2646,43846,12,95813,49438,141,188,111156,21984,78476,10692,63342,53618,1,595,163,125,10,968,79,8,72,7,0,0,1,1,1,0,1,1,2,0
701,0,2240,37,30,70,22,7,5,5847,3,0,0,0,693166,143526,487976,61659,1103,84257,18055,55505,10693,43245,11,88734,44994,178,108,133745,65568,65527,2645,65016,61150,0,556,251,160,29,1117,76,6,69,10,1,1,0,0,0,0,0,0,3,0
702,1,1457,32,15,67,16,7,8,2604,5,1,0,0,514709,159889,305861,48953,1123,70288,29893,34883,5509,31614,9,74377,46461,134,90,83610,21373,55783,6448,51828,42775,1,557,146,107,9,510,69,17,58,19,1,0,1,1,0,0,1,1,2,0
703,0,1457,15,33,23,5,6,4,2560,1,0,0,0,426583,106908,280586,39085,1643,56701,18842,31406,6449,26187,9,65994,23536,105,94,100860,32735,62612,5508,41203,39975,0,528,130,94,4,831,60,12,48,17,0,1,0,0,1,1,0,0,1,1
704,1,1476,47,25,75,23,8,14,2476,4,0,0,0,480852,117547,340792,22510,587,118807,39579,74145,5078,34236,11,104694,26744,108,162,100143,23329,66934,9876,56920,45610,1,492,106,61,11,1580,67,15,45,12,1,1,1,0,0,0,1,0,1,0
705,0,1476,25,47,33,7,9,5,1781,3,3,0,0,355396,97029,239450,18913,749,62001,22468,33534,5994,48995,11,93541,19369,95,109,138081,40563,92076,5439,43254,40543,0,383,110,87,0,874,62,7,40,10,0,0,0,0,1,0,0,0,2,0
706,1,2063,37,25,62,14,7,12,2722,2,0,0,0,768017,343122,387960,36931,65,94265,49924,38956,5382,43023,15,116376,66277,255,133,121896,34889,79221,7780,69337,60205,1,699,257,167,26,1465,82,16,119,40,1,1,1,1,0,0,1,1,2,0
