,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1409,0,1211,2.2,6.4,2.2,0.8,0.8,0.4,431.2,0.0,0.0,0.0,0.0,41665.6,8679.6,29256.8,3728.2,108.6,6099.2,1631.8,3970.6,496.0,2071.4,2.0,8934.6,1603.4,4.4,9.8,13671.2,2684.6,10222.8,762.8,5439.0,5487.0,0.0,52.0,4.8,4.8,0.0,52.6,9.6,0.2,2.4,0.0,0,0,0,0,0,0,0,0,0,0
1410,1,1134,3.8,3.0,5.0,2.2,0.8,1.4,363.8,0.0,0.0,0.0,0.0,54337.6,12970.8,37206.4,4159.8,141.8,7962.8,2777.2,4822.2,363.0,3506.4,2.0,6483.8,5875.2,9.6,13.2,10232.0,1111.0,8607.8,512.4,6967.2,5825.0,0.0,54.0,22.4,13.6,2.8,96.2,9.4,0.6,5.6,0.4,0,1,0,0,1,1,0,0,2,1
1411,0,1134,3.0,3.8,2.0,1.8,1.0,0.4,359.0,0.0,0.0,0.0,0.0,38529.4,4319.6,31324.8,2884.4,176.8,5921.2,895.4,4512.8,512.6,3616.0,3.2,5712.6,2109.2,6.4,7.6,10790.2,3086.8,7339.6,362.6,5608.6,5015.0,0.0,49.0,14.8,11.0,0.6,58.0,8.8,0.4,3.8,0.4,1,0,0,0,0,0,0,0,1,0
1412,1,1547,10.2,2.8,6.0,4.8,1.4,2.0,460.2,0.6,0.0,0.0,0.0,101942.6,11193.8,82159.2,8588.8,236.6,14413.0,2342.0,11090.0,980.4,6172.2,1.4,12488.6,13998.2,15.2,12.4,18120.2,5621.4,11766.8,730.8,10864.4,10014.6,0.4,83.6,39.6,13.6,15.0,150.0,14.0,1.6,8.2,0.4,1,1,1,1,1,1,2,1,3,1
1413,0,1547,2.8,10.4,1.4,1.0,1.2,0.4,430.4,0.2,0.2,0.0,0.0,65651.2,18828.2,43120.2,3702.2,124.2,10840.8,4942.4,5392.6,504.8,1002.6,0.8,9132.8,903.4,8.8,14.0,17398.8,2432.2,13985.2,980.2,7691.8,6820.0,0.0,93.0,2.4,2.4,0.0,155.6,11.2,0.2,5.2,0.0,0,0,0,0,0,0,0,0,0,0
1414,1,1694,9.2,3.8,9.2,4.0,1.6,1.2,684.6,1.0,0.4,0.0,0.0,119984.0,15093.4,96830.4,8059.2,351.2,18310.6,3215.0,13553.0,1541.4,7630.2,2.2,15150.4,15583.6,23.4,15.4,20573.6,7400.8,11224.4,1947.6,11977.2,10580.0,0.2,91.4,43.6,24.8,7.0,208.4,15.0,1.2,10.2,2.6,1,1,1,1,1,1,2,1,4,1
1415,0,1694,3.8,9.2,7.0,1.8,1.0,1.0,536.8,0.2,0.0,0.0,0.0,90358.6,38935.0,40743.8,10678.4,177.2,13013.0,6774.2,4690.2,1547.8,5586.4,2.2,12941.2,4716.6,18.2,24.0,23439.8,3512.6,18385.0,1541.0,9020.0,8424.0,0.0,87.2,26.4,20.2,1.8,145.4,13.4,1.2,9.0,1.6,0,0,0,0,0,0,0,0,0,1
1416,1,2112,10.2,6.6,15.4,3.6,1.6,3.2,676.4,1.4,0.0,0.0,0.0,103796.8,37892.4,59375.4,6528.4,81.2,26103.8,15399.0,9131.6,1573.0,6931.8,1.4,20300.0,13705.8,21.8,28.6,25415.2,6442.0,17680.8,1291.0,13641.0,12215.0,0.2,67.2,20.8,9.6,2.6,142.4,15.2,2.2,13.0,0.4,1,1,1,0,0,1,1,0,3,2
1417,0,2112,6.4,10.2,7.0,3.2,1.8,1.8,496.2,0.6,0.2,0.0,0.0,90088.8,26034.8,53149.6,10903.6,236.2,16988.2,6023.0,9673.0,1291.0,7421.2,1.4,17709.6,9677.4,17.8,16.8,31052.6,15807.4,13671.4,1572.6,11771.2,10992.0,0.0,92.4,15.8,10.4,0.2,107.6,14.4,0.4,8.4,2.0,0,0,0,1,1,0,0,1,2,0
1418,1,1403,5.6,4.4,3.6,2.2,1.2,2.0,522.0,0.8,0.0,0.0,0.0,59191.6,2691.6,51364.0,5135.4,55.0,12038.0,855.8,10586.6,594.8,2879.4,1.4,6063.2,2946.6,9.0,15.8,11523.6,3107.8,7777.4,637.6,7896.4,6455.0,0.0,60.0,17.6,9.6,4.0,95.2,11.2,0.0,4.8,0.6,0,1,0,0,0,0,0,0,1,0
1419,0,1403,4.4,5.6,4.8,2.2,1.2,1.2,530.8,0.4,0.0,0.0,0.0,46808.0,10989.8,32267.8,3550.0,99.6,8776.4,2889.2,5249.0,637.6,2950.2,2.0,11933.8,3837.2,8.8,14.6,15421.2,935.8,13890.0,594.4,7153.6,7624.0,0.0,55.0,12.8,5.6,3.4,191.8,10.8,0.6,5.0,0.2,1,0,0,0,1,1,0,0,1,1
1420,1,1374,6.0,0.6,5.0,5.0,1.0,1.2,475.2,0.4,0.0,0.0,0.0,83921.2,40776.2,36940.8,6202.8,80.4,8166.6,3829.8,3512.0,824.2,4172.8,1.6,8441.8,8921.4,16.8,9.2,11558.6,1629.4,9674.8,254.0,8956.8,7527.0,0.0,86.8,35.0,17.4,8.2,118.8,12.6,1.6,7.6,0.8,1,1,0,0,1,0,0,0,3,0
1421,0,1374,0.6,6.0,0.4,0.0,0.6,0.0,432.6,0.0,0.0,0.0,0.0,44101.8,4144.6,36436.0,3520.6,210.2,4663.6,1264.8,3144.2,254.0,1074.6,1.2,6748.8,677.2,8.2,9.8,10767.4,3902.6,6040.0,823.8,5355.0,4665.0,0.0,73.2,5.6,4.6,0.0,131.0,10.4,0.2,5.0,0.4,0,0,0,0,0,0,0,0,0,0
