,team_win,gameDuration,avg__stats_kills,avg__stats_deaths,avg__stats_assists,avg__stats_largestKillingSpree,avg__stats_largestMultiKill,avg__stats_killingSprees,avg__stats_longestTimeSpentLiving,avg__stats_doubleKills,avg__stats_tripleKills,avg__stats_quadraKills,avg__stats_pentaKills,avg__stats_totalDamageDealt,avg__stats_magicDamageDealt,avg__stats_physicalDamageDealt,avg__stats_trueDamageDealt,avg__stats_largestCriticalStrike,avg__stats_totalDamageDealtToChampions,avg__stats_magicDamageDealtToChampions,avg__stats_physicalDamageDealtToChampions,avg__stats_trueDamageDealtToChampions,avg__stats_totalHeal,avg__stats_totalUnitsHealed,avg__stats_damageSelfMitigated,avg__stats_damageDealtToObjectives,avg__stats_visionScore,avg__stats_timeCCingOthers,avg__stats_totalDamageTaken,avg__stats_magicalDamageTaken,avg__stats_physicalDamageTaken,avg__stats_trueDamageTaken,avg__stats_goldEarned,avg__stats_goldSpent,avg__stats_inhibitorKills,avg__stats_totalMinionsKilled,avg__stats_neutralMinionsKilled,avg__stats_neutralMinionsKilledTeamJungle,avg__stats_neutralMinionsKilledEnemyJungle,avg__stats_totalTimeCrowdControlDealt,avg__stats_champLevel,avg__stats_visionWardsBoughtInGame,avg__stats_wardsPlaced,avg__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
308,1,923,4.6,1.2,5.0,3.4,1.6,1.2,430.6,0.6,0.0,0.0,0.0,59843.0,14554.4,38906.0,6381.6,65.4,7694.4,2802.2,4173.0,718.8,3388.2,2.0,5293.2,5705.6,12.8,8.6,8317.4,1512.6,6547.8,256.4,6928.6,5910.0,0.0,88.0,18.2,11.8,2.2,82.0,11.0,2.2,5.6,1.6,1,1,0,0,1,1,0,0,2,1
309,0,923,1.2,4.6,1.0,0.0,0.8,0.0,315.4,0.0,0.0,0.0,0.0,43501.8,6074.8,35204.2,2222.2,48.0,4902.8,1350.0,3296.2,256.4,3103.8,1.8,5710.0,1133.8,9.2,15.6,10618.8,3094.8,6804.4,718.4,4644.0,4046.6,0.0,65.0,20.8,14.8,0.8,94.4,9.0,1.8,5.0,1.2,0,0,0,0,0,0,0,0,0,0
310,1,1713,7.2,5.4,13.0,3.6,1.8,1.6,637.8,1.4,0.4,0.0,0.0,121002.0,42690.4,68611.0,9700.0,137.4,16530.8,8352.2,7674.0,503.8,6281.8,2.2,20236.0,16141.0,37.2,13.4,19940.8,6235.8,12655.0,1049.2,12245.0,10855.0,0.2,117.2,35.4,20.4,4.8,118.4,15.2,6.6,16.8,4.4,0,0,1,1,0,0,1,2,2,1
311,0,1713,5.4,7.4,9.2,2.6,1.6,1.4,492.8,0.8,0.2,0.0,0.0,116051.0,24660.2,83700.0,7689.4,128.2,14135.8,5593.8,7492.0,1049.2,5519.8,2.2,12018.4,7700.2,30.4,23.6,21512.2,8757.0,12250.6,503.6,11088.8,10420.0,0.0,124.8,41.4,25.0,6.8,263.2,14.0,4.8,13.8,5.4,1,1,0,0,1,1,0,0,2,1
312,1,1642,3.2,2.6,8.8,1.4,1.2,1.0,927.4,0.6,0.0,0.0,0.0,133370.4,37348.2,84411.2,11610.6,260.8,10419.0,3753.8,5315.4,1349.2,6253.6,1.8,12042.4,15303.8,29.6,12.2,16608.4,4913.0,11109.4,584.8,10558.6,9953.0,0.0,144.8,38.8,26.0,1.2,121.4,14.2,4.0,13.4,6.2,0,1,0,1,0,0,0,1,2,1
313,0,1642,2.6,3.2,4.4,1.4,1.2,0.4,804.0,0.4,0.0,0.0,0.0,110535.4,52109.0,52203.6,6221.8,44.2,10517.4,4370.2,5561.8,585.0,5505.6,2.6,11447.4,7095.2,33.0,26.6,15143.8,4342.2,9451.8,1349.0,9436.0,9022.0,0.0,137.0,37.8,28.8,0.8,218.6,13.4,7.0,15.4,6.8,1,0,0,0,1,1,0,0,2,1
314,1,1864,4.8,3.2,10.0,3.8,1.6,1.0,1069.4,0.8,0.2,0.0,0.0,184869.8,17556.6,82951.4,84361.0,204.8,16391.8,6151.8,9717.2,522.0,5172.4,2.4,13151.2,14364.4,42.0,20.0,16161.4,4806.2,10174.4,1180.2,11491.0,10275.0,0.2,140.2,37.4,25.8,1.6,85.4,14.8,4.6,15.2,6.4,1,1,1,1,1,0,1,1,4,0
315,0,1864,3.0,4.8,4.6,1.4,0.8,0.8,857.2,0.0,0.0,0.0,0.0,121788.8,25361.4,91425.2,5001.4,285.0,11908.2,4365.0,6961.6,580.2,6649.6,2.4,19850.6,8671.8,36.8,23.0,22334.2,6739.2,15072.8,522.0,10151.4,9590.0,0.0,139.8,37.2,28.6,0.8,203.2,13.4,6.8,16.8,6.0,0,0,0,0,0,1,0,0,1,2
316,1,1265,4.6,2.4,6.6,3.0,1.0,1.4,416.4,0.0,0.0,0.0,0.0,73181.8,16820.2,41780.8,14579.6,146.6,8128.0,2605.0,4958.8,563.6,5247.2,1.8,8797.4,9872.6,23.0,16.8,11977.8,3108.4,8681.4,187.4,8756.8,7715.0,0.0,97.6,27.0,16.8,1.4,137.6,12.4,3.4,9.6,4.6,1,1,0,1,1,1,0,1,2,2
317,0,1265,2.4,4.6,2.6,1.4,0.8,0.4,479.0,0.4,0.0,0.0,0.0,71699.2,23575.6,44689.4,3433.8,108.6,7207.6,2692.8,4326.8,187.4,3998.6,2.8,5211.0,4747.0,20.2,9.2,11757.0,3015.8,8176.8,563.4,7194.4,6880.0,0.0,93.8,26.4,20.6,1.6,65.0,11.0,2.4,9.0,3.2,0,0,0,0,0,0,0,0,1,0
